variant,chunks,seeds,mean_accuracy,std_accuracy,chance,delta_vs_strong_baseline
core_only,2,3,0.033854166666666664,0.019661027175184243,0.0625,0.033854166666666664
core_only,4,3,0.005208333333333333,0.004510548978043952,0.0625,0.005208333333333333
core_only,8,3,0.005208333333333333,0.009021097956087904,0.0625,0.005208333333333333
core_only,16,3,0.005208333333333333,0.004510548978043952,0.0625,0.005208333333333333
core_only,32,3,0.0,0.0,0.0625,0.0
evidence_only,2,3,0.19010416666666666,0.13288907106430284,0.0625,0.19010416666666666
evidence_only,4,3,0.171875,0.136886058343244,0.0625,0.171875
evidence_only,8,3,0.11458333333333333,0.0813150781041458,0.0625,0.11458333333333333
evidence_only,16,3,0.12239583333333333,0.07259041596232477,0.0625,0.12239583333333333
evidence_only,32,3,0.12760416666666666,0.1108531075718373,0.0625,0.12760416666666666
hybrid,2,3,0.390625,0.3353919989635263,0.0625,0.390625
hybrid,4,3,0.3828125,0.4323779406881785,0.0625,0.3828125
hybrid,8,3,0.2109375,0.25351532405606175,0.0625,0.2109375
hybrid,16,3,0.16145833333333334,0.1928490477247252,0.0625,0.16145833333333334
hybrid,32,3,0.125,0.18371837525476323,0.0625,0.125
last_k,2,3,0.0,0.0,0.0625,0.0
last_k,4,3,0.0,0.0,0.0625,0.0
last_k,8,3,0.0,0.0,0.0625,0.0
last_k,16,3,0.0,0.0,0.0625,0.0
last_k,32,3,0.0,0.0,0.0625,0.0
no_memory,2,3,0.0,0.0,0.0625,0.0
no_memory,4,3,0.0,0.0,0.0625,0.0
no_memory,8,3,0.0,0.0,0.0625,0.0
no_memory,16,3,0.0,0.0,0.0625,0.0
no_memory,32,3,0.0,0.0,0.0625,0.0
