condition,capacity,capacity_fraction,mean_exact_retention,mean_same_binding_retention,mean_accuracy,mean_accuracy_given_retained,mean_accuracy_given_absent
oracle_current,4,0.0625,0.0609375,0.1609375,0.1828125,0.9022727272727273,0.13820422371420155
oracle_current,8,0.125,0.11875,0.246875,0.246875,0.8407894736842106,0.17092745355022743
oracle_current,12,0.1875,0.18125,0.31875,0.29375,0.7942391304347826,0.1856455955048188
oracle_current,16,0.25,0.25,0.40625,0.3484375,0.7839775985663082,0.20769826902182978
oracle_current,24,0.375,0.3875,0.5484375,0.4125,0.7385241275997578,0.20742437290280896
oracle_current,32,0.5,0.51875,0.6984375,0.48125,0.675457850618395,0.27179116144335863
oracle_current,64,1.0,1.0,1.0,0.546875,0.546875,0.0
oracle_stable,4,0.0625,0.05625,0.1421875,0.178125,1.0,0.12927784067526918
oracle_stable,8,0.125,0.121875,0.2546875,0.2625,0.9291866028708133,0.17073672504865164
oracle_stable,12,0.1875,0.1765625,0.340625,0.325,0.890423076923077,0.20591833101975557
oracle_stable,16,0.25,0.24375,0.4140625,0.384375,0.8679667004732927,0.23005452336882018
oracle_stable,24,0.375,0.39375,0.5421875,0.446875,0.7831042662676545,0.22889739315310093
oracle_stable,32,0.5,0.5140625,0.6546875,0.51875,0.7602071925544411,0.2574899942824471
oracle_stable,64,1.0,1.0,1.0,0.60625,0.60625,0.0
